Brand,Year,UsedOrNew,Transmission,FuelType,FuelConsumption,Kilometres,CylindersinEngine,BodyType,Doors,Seats,Price,EngineVolume,ExtCol,State,DriveFront,DriveRear
Toyota,2009.0,USED,Automatic,Unleaded,,106208.0,,Commercial,,,22900.0,,Blue ,NSW,,
Daihatsu,2019.0,USED,,,,19730.0,,,,,33888.0,,Green ,NSW,,
Toyota,2013.0,USED,Automatic,Diesel,6.5,292134.0,4.0,SUV,4.0,5.0,14995.0,2.2,Grey ,NSW,True,True
Toyota,2008.0,USED,Automatic,Diesel,9.5,251000.0,4.0,Ute / Tray,4.0,5.0,21290.0,3.0,White ,NSW,True,True
Mazda,2014.0,USED,Automatic,Unleaded,5.8,130242.0,4.0,Hatchback,5.0,5.0,16388.0,2.0,Brown ,NSW,True,False
Hyundai,2021.0,USED,Automatic,Unleaded,7.2,35024.0,4.0,SUV,4.0,5.0,26990.0,1.6,White ,NSW,True,False
BMW,2015.0,USED,Automatic,Diesel,5.1,44145.0,4.0,SUV,4.0,5.0,32000.0,2.0,White ,NSW,True,True
BMW,2021.0,USED,Automatic,Premium,6.4,29567.0,4.0,Sedan,4.0,5.0,67988.0,2.0,Black ,NSW,False,True
Mazda,2007.0,USED,Automatic,Premium,8.9,223898.0,4.0,Hatchback,5.0,5.0,7600.0,2.3,Black ,NSW,True,False
Hyundai,2013.0,USED,Automatic,Unleaded,6.4,155244.0,4.0,Hatchback,3.0,4.0,17990.0,1.6,White ,NSW,True,False
Toyota,2017.0,USED,Automatic,Unleaded,7.9,149988.0,4.0,Sedan,4.0,5.0,19950.0,2.5,Grey ,NSW,True,False
Mitsubishi,2011.0,USED,Automatic,Unleaded,7.3,205373.0,4.0,Hatchback,5.0,5.0,9990.0,2.0,Red ,NSW,True,False
BMW,2020.0,USED,Automatic,Premium,8.8,2858.0,6.0,Coupe,2.0,4.0,129988.0,3.0,White ,NSW,False,True
Suzuki,2011.0,USED,Automatic,Unleaded,6.2,201011.0,4.0,Hatchback,5.0,5.0,7999.0,1.4,Grey ,NSW,True,False
Ford,2008.0,USED,Manual,Diesel,9.5,305593.0,4.0,Commercial,2.0,3.0,9995.0,2.4,White ,NSW,False,True
Toyota,2009.0,USED,Automatic,Unleaded,,165589.0,,Commercial,,,19900.0,,Black ,NSW,,
Peugeot,2017.0,USED,Automatic,Premium,5.1,57217.0,3.0,Hatchback,5.0,5.0,16990.0,1.2,Silver ,NSW,True,False
Holden,2017.0,USED,Automatic,Unleaded,6.9,83147.0,4.0,SUV,4.0,5.0,17888.0,1.4,Blue ,NSW,True,False
Mitsubishi,2015.0,USED,Automatic,Diesel,9.3,204000.0,4.0,Ute / Tray,4.0,5.0,18995.0,2.5,White ,NSW,True,True
Subaru,2013.0,USED,Manual,Unleaded,7.2,122077.0,4.0,SUV,4.0,5.0,16857.0,2.0,Red ,NSW,True,True
Mazda,2015.0,USED,Automatic,Unleaded,6.1,60581.0,4.0,SUV,4.0,5.0,22990.0,2.0,Blue ,NSW,True,False
